0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,class
-147.8695652173913,-128.8695652173913,-108.86956521739133,-88.86956521739133,-69.86956521739131,-52.86956521739131,-39.86956521739131,-29.869565217391308,-25.869565217391308,-28.869565217391308,-38.86956521739131,-51.86956521739131,-67.86956521739131,-85.86956521739131,-105.86956521739133,-125.86956521739133,-145.8695652173913,-169.8695652173913,-176.8695652173913,-178.8695652173913,-176.8695652173913,-171.8695652173913,-171.8695652173913,-176.8695652173913,-178.8695652173913,-175.8695652173913,-166.8695652173913,-151.8695652173913,-139.8695652173913,-126.86956521739133,-114.86956521739133,-99.86956521739133,-97.86956521739133,-96.86956521739133,-97.86956521739133,-98.86956521739133,1
-135.43478260869563,-115.43478260869564,-94.43478260869564,-74.43478260869563,-54.434782608695635,-37.434782608695635,-24.43478260869563,-12.434782608695626,-9.434782608695627,-11.434782608695626,-21.434782608695627,-34.434782608695635,-50.434782608695635,-68.43478260869563,-88.43478260869563,-109.43478260869564,-129.43478260869563,-158.43478260869563,-166.43478260869563,-167.43478260869563,-165.43478260869563,-160.43478260869563,-159.43478260869563,-164.43478260869563,-166.43478260869563,-162.43478260869563,-153.43478260869563,-139.43478260869563,-126.43478260869564,-113.43478260869564,-100.43478260869564,-85.43478260869563,-83.43478260869563,-81.43478260869563,-83.43478260869563,-84.43478260869563,1
-126.43478260869564,-106.43478260869564,-86.43478260869563,-65.43478260869563,-46.434782608695635,-28.43478260869563,-15.434782608695626,-3.4347826086956275,0.5652173913043725,-2.4347826086956275,-12.434782608695626,-26.43478260869563,-43.434782608695635,-61.434782608695635,-82.43478260869563,-102.43478260869564,-124.43478260869564,-151.43478260869563,-158.43478260869563,-159.43478260869563,-157.43478260869563,-152.43478260869563,-152.43478260869563,-157.43478260869563,-159.43478260869563,-157.43478260869563,-149.43478260869563,-130.43478260869563,-116.43478260869564,-104.43478260869564,-90.43478260869564,-76.43478260869563,-73.43478260869563,-71.43478260869563,-73.43478260869563,-74.43478260869563,1
-131.6521739130435,-110.6521739130435,-90.6521739130435,-69.6521739130435,-49.6521739130435,-31.652173913043494,-18.652173913043498,-7.652173913043496,-3.6521739130434976,-6.652173913043496,-17.652173913043498,-30.652173913043494,-47.6521739130435,-65.6521739130435,-84.6521739130435,-105.6521739130435,-126.6521739130435,-152.6521739130435,-161.6521739130435,-162.6521739130435,-159.6521739130435,-153.6521739130435,-154.6521739130435,-160.6521739130435,-162.6521739130435,-159.6521739130435,-150.6521739130435,-133.6521739130435,-119.6521739130435,-106.6521739130435,-92.6521739130435,-78.6521739130435,-75.6521739130435,-74.6521739130435,-75.6521739130435,-77.6521739130435,1
-130.6521739130435,-110.6521739130435,-89.6521739130435,-68.6521739130435,-48.6521739130435,-30.652173913043494,-17.652173913043498,-5.652173913043496,-1.652173913043498,-4.652173913043498,-15.6521739130435,-29.652173913043494,-46.6521739130435,-65.6521739130435,-85.6521739130435,-107.6521739130435,-128.6521739130435,-151.6521739130435,-161.6521739130435,-163.6521739130435,-160.6521739130435,-154.6521739130435,-155.6521739130435,-161.6521739130435,-164.6521739130435,-161.6521739130435,-151.6521739130435,-133.6521739130435,-119.6521739130435,-106.6521739130435,-92.6521739130435,-78.6521739130435,-75.6521739130435,-73.6521739130435,-75.6521739130435,-77.6521739130435,1
-129.6521739130435,-109.6521739130435,-88.6521739130435,-67.6521739130435,-47.6521739130435,-30.652173913043494,-17.652173913043498,-6.652173913043496,-3.6521739130434976,-6.652173913043496,-18.652173913043498,-31.652173913043494,-48.6521739130435,-66.6521739130435,-87.6521739130435,-108.6521739130435,-129.6521739130435,-150.6521739130435,-158.6521739130435,-159.6521739130435,-156.6521739130435,-150.6521739130435,-152.6521739130435,-157.6521739130435,-159.6521739130435,-158.6521739130435,-150.6521739130435,-130.6521739130435,-117.6521739130435,-104.6521739130435,-90.6521739130435,-76.6521739130435,-74.6521739130435,-72.6521739130435,-73.6521739130435,-76.6521739130435,1
-138.6521739130435,-117.6521739130435,-97.6521739130435,-77.6521739130435,-59.6521739130435,-42.6521739130435,-30.652173913043494,-20.652173913043498,-17.652173913043498,-20.652173913043498,-30.652173913043494,-42.6521739130435,-59.6521739130435,-76.6521739130435,-96.6521739130435,-117.6521739130435,-139.6521739130435,-163.6521739130435,-171.6521739130435,-172.65217391304353,-170.6521739130435,-165.6521739130435,-166.6521739130435,-171.6521739130435,-173.65217391304353,-171.6521739130435,-162.6521739130435,-145.6521739130435,-132.6521739130435,-120.6521739130435,-107.6521739130435,-92.6521739130435,-90.6521739130435,-89.6521739130435,-90.6521739130435,-91.6521739130435,1
-126.6521739130435,-105.6521739130435,-83.6521739130435,-62.6521739130435,-42.6521739130435,-23.652173913043494,-9.652173913043498,2.347826086956502,6.347826086956504,3.3478260869565024,-7.652173913043496,-20.652173913043498,-38.6521739130435,-57.6521739130435,-77.6521739130435,-99.6521739130435,-121.6521739130435,-147.6521739130435,-155.6521739130435,-156.6521739130435,-152.6521739130435,-146.6521739130435,-147.6521739130435,-153.6521739130435,-155.6521739130435,-153.6521739130435,-143.6521739130435,-125.6521739130435,-111.6521739130435,-97.6521739130435,-82.6521739130435,-69.6521739130435,-66.6521739130435,-64.6521739130435,-65.6521739130435,-68.6521739130435,1
-138.6521739130435,-118.6521739130435,-97.6521739130435,-77.6521739130435,-57.6521739130435,-40.6521739130435,-28.652173913043494,-17.652173913043498,-13.6521739130435,-16.652173913043498,-26.652173913043494,-39.6521739130435,-56.6521739130435,-75.6521739130435,-94.6521739130435,-115.6521739130435,-137.6521739130435,-160.6521739130435,-168.6521739130435,-169.6521739130435,-166.6521739130435,-161.6521739130435,-161.6521739130435,-167.6521739130435,-169.6521739130435,-167.6521739130435,-159.6521739130435,-141.6521739130435,-128.6521739130435,-116.6521739130435,-102.6521739130435,-89.6521739130435,-86.6521739130435,-85.6521739130435,-86.6521739130435,-87.6521739130435,1
-123.6521739130435,-101.6521739130435,-79.6521739130435,-57.6521739130435,-36.6521739130435,-17.652173913043498,-3.6521739130434976,9.347826086956502,13.3478260869565,11.3478260869565,-1.652173913043498,-15.6521739130435,-33.6521739130435,-53.6521739130435,-74.6521739130435,-97.6521739130435,-120.6521739130435,-144.6521739130435,-152.6521739130435,-152.6521739130435,-149.6521739130435,-143.6521739130435,-143.6521739130435,-150.6521739130435,-152.6521739130435,-150.6521739130435,-141.6521739130435,-122.6521739130435,-108.6521739130435,-94.6521739130435,-80.6521739130435,-66.6521739130435,-63.6521739130435,-61.6521739130435,-62.6521739130435,-64.6521739130435,1
-122.6521739130435,-101.6521739130435,-80.6521739130435,-58.6521739130435,-37.6521739130435,-19.652173913043498,-6.652173913043496,4.347826086956502,7.347826086956504,4.347826086956502,-7.652173913043496,-21.652173913043494,-39.6521739130435,-58.6521739130435,-79.6521739130435,-100.6521739130435,-122.6521739130435,-144.6521739130435,-153.6521739130435,-154.6521739130435,-151.6521739130435,-145.6521739130435,-145.6521739130435,-151.6521739130435,-154.6521739130435,-151.6521739130435,-142.6521739130435,-124.6521739130435,-109.6521739130435,-96.6521739130435,-81.6521739130435,-68.6521739130435,-65.6521739130435,-63.6521739130435,-64.6521739130435,-66.6521739130435,1
-131.6521739130435,-111.6521739130435,-90.6521739130435,-69.6521739130435,-49.6521739130435,-31.652173913043494,-18.652173913043498,-7.652173913043496,-3.6521739130434976,-6.652173913043496,-18.652173913043498,-31.652173913043494,-49.6521739130435,-67.6521739130435,-88.6521739130435,-109.6521739130435,-130.6521739130435,-153.6521739130435,-162.6521739130435,-163.6521739130435,-161.6521739130435,-156.6521739130435,-156.6521739130435,-162.6521739130435,-164.6521739130435,-162.6521739130435,-153.6521739130435,-135.6521739130435,-121.6521739130435,-108.6521739130435,-94.6521739130435,-80.6521739130435,-78.6521739130435,-76.6521739130435,-77.6521739130435,-79.6521739130435,1
